"","Word","Count","Type"
"1","help",7,"Pos"
"2","great",5,"Pos"
"3","good",3,"Pos"
"4","support",3,"Pos"
"5","dedicated",2,"Pos"
"6","expertise",2,"Pos"
"7","professional",2,"Pos"
"8","appreciate",1,"Pos"
"9","appreciative",1,"Pos"
"10","awesome",1,"Pos"
"11","caring",1,"Pos"
"12","cooperation",1,"Pos"
"13","listen",1,"Pos"
"14","outstanding",1,"Pos"
"15","patience",1,"Pos"
"16","patient",1,"Pos"
"17","pleasant",1,"Pos"
"18","responsive",1,"Pos"
"19","right away",1,"Pos"
"20","sincerely",1,"Pos"
"21","staying in contact",1,"Pos"
"22","thorough",1,"Pos"
"23","understand",1,"Pos"
"24","welcoming",1,"Pos"
"25","issues",2,"Neg"
"26","just show up",2,"Neg"
"27","at least",1,"Neg"
"28","closed doors",1,"Neg"
"29","competing demands",1,"Neg"
"30","expect you",1,"Neg"
"31","expertise gap",1,"Neg"
"32","figure it out ourselves",1,"Neg"
"33","given the choice",1,"Neg"
"34","no insight",1,"Neg"
"35","properly estimate",1,"Neg"
"36","struggles",1,"Neg"
"37","until a decision",1,"Neg"
"38","what is going on",1,"Neg"
"39","Why can't",1,"Neg"
"40","would vary",1,"Neg"
"41","solve",3,"Neu"
"42","resolve",2,"Neu"
"43","bandwidth",1,"Neu"
"44","could have",1,"Neu"
"45","follow through",1,"Neu"
"46","generally",1,"Neu"
"47","last minute",1,"Neu"
"48","more open",1,"Neu"
"49","they find out",1,"Neu"
